time	V(N002,VDD)*Id(M1)+V(N002,VDD)*Ig(M1)	V(N003,VDD)*Id(M2)+V(N002,VDD)*Ig(M2)	V(N003,VDD)*Id(M3)+V(N001,VDD)*Ig(M3)	V(N001,VDD)*Id(M5)+V(N003,VDD)*Ig(M5)	V(Vout,VDD)*Id(M7)+V(N001,VDD)*Ig(M7)	V(Vout)*Id(M8)+V(N001)*Ig(M8)	V(N001)*Id(M6)+V(N003)*Ig(M6)	V(N003)*Id(M4)+V(Vout)*Ig(M4)	V(N003)*I(C1)	V(Vout)*I(C2)
1.771501811717834e-06	1.050763e-07	1.024622e-07	-4.458054e-09	4.526028e-08	-1.498758e-08	3.303224e-09	2.549339e-09	4.172064e-09	7.960625e-10	1.433481e-08
1.772657441957685e-06	1.054428e-07	1.044914e-07	-4.415478e-09	4.185584e-08	-1.319103e-08	5.471028e-09	3.097552e-09	3.896920e-09	3.964660e-10	1.320487e-08
1.774968702437387e-06	1.091115e-07	1.062229e-07	3.252878e-10	3.249783e-08	-7.661756e-09	1.969252e-08	4.480596e-09	3.715165e-09	4.253930e-11	4.193032e-10
1.779591223396790e-06	1.083580e-07	9.906171e-08	9.191756e-10	1.116520e-08	-2.181896e-09	6.537035e-08	2.552624e-09	-7.463207e-09	6.104422e-10	-2.591016e-08
1.787659395336127e-06	1.039763e-07	6.871312e-08	-2.813659e-09	-7.514729e-09	5.988607e-09	3.816353e-08	8.924334e-10	1.202643e-09	8.423534e-09	-1.402268e-08
1.793978131588679e-06	1.030445e-07	4.110183e-08	-2.691646e-09	-6.666930e-09	1.472083e-09	2.043151e-09	2.467734e-08	4.054509e-09	1.747148e-08	-8.599313e-10
1.801241460171415e-06	1.054852e-07	1.579923e-08	4.252765e-09	-1.045239e-10	1.262136e-08	-1.240087e-08	5.967497e-08	2.556730e-09	1.549622e-08	9.396951e-11
1.811007085171415e-06	1.087010e-07	2.090387e-09	1.227766e-08	5.097937e-09	5.703984e-08	-7.913004e-10	2.297209e-08	1.683495e-09	4.691530e-09	4.826404e-09
1.820538466536935e-06	1.142808e-07	1.004072e-09	-3.749921e-09	-2.302289e-09	3.110222e-08	3.814829e-09	-9.561965e-09	8.590404e-08	-1.785968e-08	2.118462e-08
1.830304091536935e-06	1.179073e-07	4.267137e-08	1.590905e-09	2.472426e-08	-2.208144e-09	2.793301e-10	-1.030244e-08	9.487423e-08	-1.547988e-08	9.981017e-09
1.839723810373890e-06	1.066064e-07	1.024643e-07	-3.462317e-09	4.923733e-08	-1.500730e-08	1.468483e-09	2.314561e-09	7.227588e-09	7.580660e-10	1.188885e-08
1.840944513498890e-06	1.066172e-07	1.048440e-07	-4.111728e-09	4.628154e-08	-1.363818e-08	3.202675e-09	2.857230e-09	5.953018e-09	3.855034e-10	1.164069e-08
1.843385919748890e-06	1.094597e-07	1.063708e-07	-1.979977e-10	3.616710e-08	-8.433314e-09	1.502923e-08	4.258951e-09	5.283319e-09	1.510098e-11	2.348877e-09
1.848268732248890e-06	1.086540e-07	9.975426e-08	1.032291e-09	1.421805e-08	-2.883023e-09	5.857643e-08	2.928082e-09	-5.145693e-09	4.726775e-10	-2.221041e-08
1.857495347107827e-06	1.040133e-07	6.709083e-08	-2.656141e-09	-7.280450e-09	5.773186e-09	3.258116e-08	1.574774e-09	3.509284e-09	8.783350e-09	-1.112778e-08
1.864164841936498e-06	1.031351e-07	3.875886e-08	-2.626222e-09	-6.389718e-09	-2.800583e-11	-1.011245e-09	3.045971e-08	3.635206e-09	1.786328e-08	-3.924037e-10
1.871653804515971e-06	1.057895e-07	1.377882e-08	5.016075e-09	5.278025e-10	1.381615e-08	-1.379761e-08	6.219412e-08	1.682599e-09	1.465528e-08	7.017407e-10
1.881419429515971e-06	1.089677e-07	1.731350e-09	1.186352e-08	4.865447e-09	5.345354e-08	1.438070e-09	2.045833e-08	9.277002e-09	3.698527e-09	7.594817e-09
1.890830993316024e-06	1.141766e-07	1.681100e-09	-7.929403e-11	-2.042716e-09	2.515030e-08	4.331392e-09	-8.954353e-09	1.019081e-07	-1.738318e-08	2.171361e-08
1.900596618316024e-06	1.177556e-07	4.363828e-08	1.758287e-08	2.318873e-08	-1.980243e-09	-2.097230e-10	-8.982601e-09	1.050448e-07	-1.543887e-08	5.378608e-09
1.909659494583398e-06	1.132021e-07	9.488501e-08	2.011842e-08	4.441016e-08	-8.843012e-09	3.557227e-09	6.373568e-10	2.643827e-08	-1.741249e-09	-2.006140e-10
1.919425119583398e-06	1.093723e-07	1.023785e-07	4.065972e-09	2.166577e-08	-4.443237e-09	4.436749e-08	2.838610e-09	-1.524385e-09	1.413130e-10	-1.574521e-08
1.929190744583398e-06	1.058450e-07	8.004707e-08	-1.442214e-09	-3.342482e-09	3.844128e-09	4.536091e-08	1.287223e-09	2.059103e-09	4.207554e-09	-1.732550e-08
1.938956369583398e-06	1.035440e-07	4.065481e-08	-2.607161e-09	-6.105885e-09	1.393602e-09	1.757273e-09	3.506038e-08	3.668891e-09	1.586027e-08	-1.756466e-09
